Category,Keyword,Vietnamese_Term,Explanation,Level,Origin
01. Nền tảng AI & Machine Learning,Alignment,Căn chỉnh hành vi,"Quá trình làm cho hành vi của mô hình phù hợp hơn với mục tiêu, quy tắc an toàn và mong muốn của người sử dụng.",Trung cấp,Từ nội dung gốc
01. Nền tảng AI & Machine Learning,Artificial Intelligence (AI),Trí tuệ nhân tạo,"Lĩnh vực xây dựng hệ thống có khả năng thực hiện các nhiệm vụ thường cần trí thông minh của con người như nhận biết, suy luận, dự đoán và ra quyết định.",Cơ bản,Bổ sung
01. Nền tảng AI & Machine Learning,Attention,Cơ chế chú ý,Cơ chế cho phép mô hình xác định phần thông tin nào trong đầu vào cần được ưu tiên khi tạo biểu diễn hoặc sinh đầu ra.,Trung cấp,Bổ sung
01. Nền tảng AI & Machine Learning,Context Window,Cửa sổ ngữ cảnh,Tổng số token đầu vào và đầu ra mà mô hình có thể xử lý trong một lần gọi.,Cơ bản,Bổ sung
01. Nền tảng AI & Machine Learning,Deep Learning,Học sâu,Nhánh của Machine Learning sử dụng mạng nơ-ron nhiều lớp để học các biểu diễn phức tạp từ dữ liệu.,Cơ bản,Từ nội dung gốc
01. Nền tảng AI & Machine Learning,Dense Vector,Vector đặc,"Vector số thực có nhiều chiều, thường được tạo bởi embedding model để biểu diễn ý nghĩa ngữ nghĩa.",Trung cấp,Từ nội dung gốc
01. Nền tảng AI & Machine Learning,DPO (Direct Preference Optimization),Tối ưu trực tiếp theo sở thích,Phương pháp căn chỉnh mô hình trực tiếp từ các cặp phản hồi được ưu tiên và không được ưu tiên mà không cần huấn luyện mô hình phần thưởng riêng.,Nâng cao,Bổ sung
01. Nền tảng AI & Machine Learning,Embedding,Vector biểu diễn,Biểu diễn dữ liệu dưới dạng vector số sao cho các nội dung có ý nghĩa gần nhau nằm gần nhau trong không gian vector.,Cơ bản,Bổ sung
01. Nền tảng AI & Machine Learning,Fine-tuning,Tinh chỉnh mô hình,Huấn luyện bổ sung một mô hình có sẵn trên dữ liệu chuyên biệt để thay đổi năng lực hoặc hành vi cho một tác vụ cụ thể.,Trung cấp,Từ nội dung gốc
01. Nền tảng AI & Machine Learning,Foundation Model,Mô hình nền tảng,Mô hình quy mô lớn được huấn luyện trên dữ liệu rộng và có thể thích nghi cho nhiều tác vụ khác nhau.,Cơ bản,Bổ sung
01. Nền tảng AI & Machine Learning,Generative AI,AI tạo sinh,"Nhóm hệ thống AI có khả năng tạo nội dung mới như văn bản, hình ảnh, âm thanh, video hoặc mã nguồn.",Cơ bản,Bổ sung
01. Nền tảng AI & Machine Learning,Hallucination,Ảo giác mô hình,"Hiện tượng mô hình tạo thông tin nghe hợp lý nhưng sai, không được hỗ trợ bởi nguồn hoặc không tồn tại.",Cơ bản,Từ nội dung gốc
01. Nền tảng AI & Machine Learning,Inference,Suy luận mô hình,Giai đoạn sử dụng mô hình đã huấn luyện để tạo dự đoán hoặc câu trả lời cho dữ liệu mới.,Cơ bản,Bổ sung
01. Nền tảng AI & Machine Learning,Knowledge Distillation,Chưng cất tri thức,Huấn luyện một mô hình nhỏ học hành vi của mô hình lớn để giảm chi phí triển khai.,Nâng cao,Bổ sung
01. Nền tảng AI & Machine Learning,Large Language Model (LLM),Mô hình ngôn ngữ lớn,Mô hình nền tảng được huấn luyện trên lượng lớn văn bản để hiểu và sinh ngôn ngữ tự nhiên.,Cơ bản,Bổ sung
01. Nền tảng AI & Machine Learning,Machine Learning (ML),Học máy,Nhánh của AI trong đó mô hình học quy luật từ dữ liệu để dự đoán hoặc ra quyết định mà không cần lập trình tường minh cho mọi trường hợp.,Cơ bản,Bổ sung
01. Nền tảng AI & Machine Learning,Multimodal Model,Mô hình đa phương thức,"Mô hình có thể tiếp nhận hoặc tạo nhiều loại dữ liệu như văn bản, hình ảnh, âm thanh và video.",Trung cấp,Bổ sung
01. Nền tảng AI & Machine Learning,Neural Network,Mạng nơ-ron,"Mô hình tính toán gồm các lớp nút liên kết, học trọng số từ dữ liệu để ánh xạ đầu vào thành đầu ra.",Cơ bản,Bổ sung
01. Nền tảng AI & Machine Learning,Pretraining,Tiền huấn luyện,Giai đoạn huấn luyện mô hình trên tập dữ liệu rất lớn để học kiến thức và mẫu tổng quát trước khi tinh chỉnh.,Trung cấp,Bổ sung
01. Nền tảng AI & Machine Learning,Quantization,Lượng tử hóa,"Giảm độ chính xác số của trọng số hoặc phép tính để giảm bộ nhớ, chi phí và tăng tốc suy luận, có thể đánh đổi một phần chất lượng.",Nâng cao,Bổ sung
01. Nền tảng AI & Machine Learning,RLHF,Học tăng cường từ phản hồi con người,Phương pháp căn chỉnh mô hình bằng mô hình phần thưởng được xây dựng từ đánh giá hoặc lựa chọn của con người.,Nâng cao,Bổ sung
01. Nền tảng AI & Machine Learning,SFT (Supervised Fine-Tuning),Tinh chỉnh có giám sát,Tinh chỉnh mô hình bằng các cặp đầu vào và đầu ra mẫu đã được con người hoặc hệ thống gán nhãn.,Trung cấp,Từ nội dung gốc
01. Nền tảng AI & Machine Learning,Sparse Vector,Vector thưa,"Biểu diễn có phần lớn giá trị bằng 0, thường dựa trên từ khóa hoặc tần suất từ và phù hợp với khớp thuật ngữ chính xác.",Trung cấp,Từ nội dung gốc
01. Nền tảng AI & Machine Learning,Temperature,Tham số nhiệt độ,"Tham số ảnh hưởng đến độ phân tán khi chọn token; giá trị thấp thường cho đầu ra ổn định hơn, giá trị cao thường đa dạng hơn.",Cơ bản,Từ nội dung gốc
01. Nền tảng AI & Machine Learning,Token,Đơn vị token,"Đơn vị văn bản mà mô hình xử lý. Một token có thể là một từ, một phần của từ, dấu câu hoặc ký tự tùy bộ tokenizer.",Cơ bản,Từ nội dung gốc
